"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"MNH1-2-856","MNH1",2,856,"F42/OH43",54,0.968971555555556,3.69603080263619
"MNH1-2-892","MNH1",2,892,"CGR01/CG44",32,0.957535111111111,3.30357837619556
"MNH1-2-909","MNH1",2,909,"H95/B14A",29,0.943616,3.10600074618589
"MNH1-2-919","MNH1",2,919,"F42/OH43",58,0.971411555555556,3.81175825111555
"MNH1-2-959","MNH1",2,959,"CG119/CG108",45,0.969504888888889,3.62379370081393
"MNH1-2-992","MNH1",2,992,"B37/MO17",20,0.920535111111111,2.70529442582711
"MOH1-1-118","MOH1",1,118,"F42/OH43",29,0.946126222222222,3.08104472138436
"MOH1-1-149","MOH1",1,149,"B37/H95",54,0.965040888888889,3.58461456946596
"MOH1-1-186","MOH1",1,186,"B37/H95",37,0.943973333333333,3.23285743017921
"MOH1-1-20","MOH1",1,20,"B37/OH43",25,0.927264888888889,2.83017943600538
"MOH1-1-206","MOH1",1,206,"B37/H95",19,0.901136,2.54985253369125
"MOH1-1-259","MOH1",1,259,"H95/B14A",22,0.932152,2.82863476681022
"MOH1-1-268","MOH1",1,268,"CG44/CGR01",49,0.958129777777778,3.4632840108286
